 for conf_thresh = 0.25, precision = 0.70, recall = 0.63, F1-score = 0.67 
 for conf_thresh = 0.25, precision = 0.63, recall = 0.65, F1-score = 0.64 
 for conf_thresh = 0.25, precision = 0.74, recall = 0.70, F1-score = 0.72 
 for conf_thresh = 0.25, precision = 0.71, recall = 0.67, F1-score = 0.69 
 for conf_thresh = 0.25, precision = 0.72, recall = 0.75, F1-score = 0.73 
 for conf_thresh = 0.25, precision = 0.73, recall = 0.74, F1-score = 0.74 
 for conf_thresh = 0.25, precision = 0.73, recall = 0.74, F1-score = 0.73 
 for conf_thresh = 0.25, precision = 0.79, recall = 0.70, F1-score = 0.74 
 for conf_thresh = 0.25, precision = 0.68, recall = 0.69, F1-score = 0.68 
 for conf_thresh = 0.25, precision = 0.77, recall = 0.70, F1-score = 0.74 
 for conf_thresh = 0.25, precision = 0.71, recall = 0.76, F1-score = 0.74 
 for conf_thresh = 0.25, precision = 0.76, recall = 0.71, F1-score = 0.73 
 for conf_thresh = 0.25, precision = 0.74, recall = 0.74, F1-score = 0.74 
 for conf_thresh = 0.25, precision = 0.70, recall = 0.80, F1-score = 0.75 
 for conf_thresh = 0.25, precision = 0.72, recall = 0.69, F1-score = 0.71 
 for conf_thresh = 0.25, precision = 0.74, recall = 0.72, F1-score = 0.73 
 for conf_thresh = 0.25, precision = 0.76, recall = 0.70, F1-score = 0.73 
 for conf_thresh = 0.25, precision = 0.73, recall = 0.74, F1-score = 0.74 
 for conf_thresh = 0.25, precision = 0.74, recall = 0.75, F1-score = 0.74 
 for conf_thresh = 0.25, precision = 0.74, recall = 0.70, F1-score = 0.72 
 for conf_thresh = 0.25, precision = 0.76, recall = 0.66, F1-score = 0.71 
 for conf_thresh = 0.25, precision = 0.69, recall = 0.78, F1-score = 0.74 
 for conf_thresh = 0.25, precision = 0.74, recall = 0.68, F1-score = 0.71 
 for conf_thresh = 0.25, precision = 0.68, recall = 0.77, F1-score = 0.72 
 for conf_thresh = 0.25, precision = 0.72, recall = 0.78, F1-score = 0.75 
 for conf_thresh = 0.25, precision = 0.73, recall = 0.71, F1-score = 0.72 
 for conf_thresh = 0.25, precision = 0.72, recall = 0.68, F1-score = 0.70 
 for conf_thresh = 0.25, precision = 0.76, recall = 0.68, F1-score = 0.72 
 for conf_thresh = 0.25, precision = 0.74, recall = 0.72, F1-score = 0.73 
 for conf_thresh = 0.25, precision = 0.72, recall = 0.76, F1-score = 0.74 
 for conf_thresh = 0.25, precision = 0.74, recall = 0.71, F1-score = 0.73 
 for conf_thresh = 0.25, precision = 0.74, recall = 0.70, F1-score = 0.72 
 for conf_thresh = 0.25, precision = 0.75, recall = 0.72, F1-score = 0.74 
 for conf_thresh = 0.25, precision = 0.76, recall = 0.71, F1-score = 0.74 
 for conf_thresh = 0.25, precision = 0.68, recall = 0.72, F1-score = 0.70 
 for conf_thresh = 0.25, precision = 0.72, recall = 0.73, F1-score = 0.73 
 for conf_thresh = 0.25, precision = 0.73, recall = 0.73, F1-score = 0.73 
 for conf_thresh = 0.25, precision = 0.70, recall = 0.74, F1-score = 0.72 
 for conf_thresh = 0.25, precision = 0.76, recall = 0.71, F1-score = 0.73 
 for conf_thresh = 0.25, precision = 0.73, recall = 0.69, F1-score = 0.71 
 for conf_thresh = 0.25, precision = 0.71, recall = 0.75, F1-score = 0.73 
 for conf_thresh = 0.25, precision = 0.74, recall = 0.68, F1-score = 0.71 
 for conf_thresh = 0.25, precision = 0.71, recall = 0.72, F1-score = 0.72 
